Year,UNIT_MEASURE,REF_AREA,Value
2010,PT_BY_2005,,125.5
2010,PT_BY_2005,KZAKM,143.4
2010,PT_BY_2005,KZAKT,117.1
2010,PT_BY_2005,KZALM,110.4
2010,PT_BY_2005,KZATY,154.5
2010,PT_BY_2005,KZZAP,119.1
2010,PT_BY_2005,KZZHA,126.7
2010,PT_BY_2005,KZKAR,117.4
2010,PT_BY_2005,KZKUS,126.5
2010,PT_BY_2005,KZKZY,120.0
2010,PT_BY_2005,KZMAN,96.9
2010,PT_BY_2005,KZONT,114.4
2010,PT_BY_2005,KZPAV,139.3
2010,PT_BY_2005,KZSEV,131.5
2010,PT_BY_2005,KZVOS,127.4
2010,PT_BY_2005,KZNS,108.5
2010,PT_BY_2005,KZALA,120.4
2011,PT_BY_2005,,134.7
2011,PT_BY_2005,KZAKM,167.1
2011,PT_BY_2005,KZAKT,123.0
2011,PT_BY_2005,KZALM,118.0
2011,PT_BY_2005,KZATY,156.2
2011,PT_BY_2005,KZZAP,123.4
2011,PT_BY_2005,KZZHA,142.0
2011,PT_BY_2005,KZKAR,124.0
2011,PT_BY_2005,KZKUS,146.6
2011,PT_BY_2005,KZKZY,124.9
2011,PT_BY_2005,KZMAN,92.9
2011,PT_BY_2005,KZONT,118.4
2011,PT_BY_2005,KZPAV,154.1
2011,PT_BY_2005,KZSEV,154.2
2011,PT_BY_2005,KZVOS,137.2
2011,PT_BY_2005,KZNS,110.5
2011,PT_BY_2005,KZALA,128.9
2012,PT_BY_2005,,139.1
2012,PT_BY_2005,KZAKM,157.6
2012,PT_BY_2005,KZAKT,130.9
2012,PT_BY_2005,KZALM,124.3
2012,PT_BY_2005,KZATY,149.3
2012,PT_BY_2005,KZZAP,127.8
2012,PT_BY_2005,KZZHA,154.2
2012,PT_BY_2005,KZKAR,125.0
2012,PT_BY_2005,KZKUS,137.2
2012,PT_BY_2005,KZKZY,126.5
2012,PT_BY_2005,KZMAN,90.1
2012,PT_BY_2005,KZONT,120.5
2012,PT_BY_2005,KZPAV,166.3
2012,PT_BY_2005,KZSEV,147.1
2012,PT_BY_2005,KZVOS,154.8
2012,PT_BY_2005,KZNS,120.0
2012,PT_BY_2005,KZALA,138.3
2013,PT_BY_2005,,145.4
2013,PT_BY_2005,KZAKM,165.0
2013,PT_BY_2005,KZAKT,135.1
2013,PT_BY_2005,KZALM,135.0
2013,PT_BY_2005,KZATY,151.8
2013,PT_BY_2005,KZZAP,130.7
2013,PT_BY_2005,KZZHA,157.1
2013,PT_BY_2005,KZKAR,133.8
2013,PT_BY_2005,KZKUS,151.1
2013,PT_BY_2005,KZKZY,129.7
2013,PT_BY_2005,KZMAN,91.6
2013,PT_BY_2005,KZONT,121.6
2013,PT_BY_2005,KZPAV,165.8
2013,PT_BY_2005,KZSEV,159.5
2013,PT_BY_2005,KZVOS,166.1
2013,PT_BY_2005,KZNS,126.7
2013,PT_BY_2005,KZALA,155.7
2014,PT_BY_2005,,149.3
2014,PT_BY_2005,KZAKM,172.3
2014,PT_BY_2005,KZAKT,138.9
2014,PT_BY_2005,KZALM,146.5
2014,PT_BY_2005,KZATY,152.1
2014,PT_BY_2005,KZZAP,136.1
2014,PT_BY_2005,KZZHA,155.7
2014,PT_BY_2005,KZKAR,137.3
2014,PT_BY_2005,KZKUS,154.3
2014,PT_BY_2005,KZKZY,125.8
2014,PT_BY_2005,KZMAN,92.1
2014,PT_BY_2005,KZONT,122.0
2014,PT_BY_2005,KZPAV,166.5
2014,PT_BY_2005,KZSEV,169.9
2014,PT_BY_2005,KZVOS,170.6
2014,PT_BY_2005,KZNS,132.4
2014,PT_BY_2005,KZALA,153.2
2015,PT_BY_2005,,148.9
2015,PT_BY_2005,KZAKM,174.5
2015,PT_BY_2005,KZAKT,132.5
2015,PT_BY_2005,KZALM,150.5
2015,PT_BY_2005,KZATY,152.9
2015,PT_BY_2005,KZZAP,133.9
2015,PT_BY_2005,KZZHA,154.1
2015,PT_BY_2005,KZKAR,140.2
2015,PT_BY_2005,KZKUS,148.4
2015,PT_BY_2005,KZKZY,118.6
2015,PT_BY_2005,KZMAN,89.2
2015,PT_BY_2005,KZONT,121.4
2015,PT_BY_2005,KZPAV,166.3
2015,PT_BY_2005,KZSEV,172.6
2015,PT_BY_2005,KZVOS,170.4
2015,PT_BY_2005,KZNS,136.1
2015,PT_BY_2005,KZALA,154.7
2016,PT_BY_2005,,148.5
2016,PT_BY_2005,KZAKM,179.9
2016,PT_BY_2005,KZAKT,132.0
2016,PT_BY_2005,KZALM,150.8
2016,PT_BY_2005,KZATY,155.2
2016,PT_BY_2005,KZZAP,136.2
2016,PT_BY_2005,KZZHA,156.9
2016,PT_BY_2005,KZKAR,143.3
2016,PT_BY_2005,KZKUS,145.6
2016,PT_BY_2005,KZKZY,111.5
2016,PT_BY_2005,KZMAN,86.6
2016,PT_BY_2005,KZONT,121.8
2016,PT_BY_2005,KZPAV,165.1
2016,PT_BY_2005,KZSEV,175.2
2016,PT_BY_2005,KZVOS,174.5
2016,PT_BY_2005,KZNS,130.4
2016,PT_BY_2005,KZALA,153.8
2017,PT_BY_2005,,152.5
2017,PT_BY_2005,KZAKM,184.9
2017,PT_BY_2005,KZAKT,136.8
2017,PT_BY_2005,KZALM,154.1
2017,PT_BY_2005,KZATY,176.2
2017,PT_BY_2005,KZZAP,139.3
2017,PT_BY_2005,KZZHA,162.2
2017,PT_BY_2005,KZKAR,148.9
2017,PT_BY_2005,KZKUS,153.0
2017,PT_BY_2005,KZKZY,110.6
2017,PT_BY_2005,KZMAN,84.0
2017,PT_BY_2005,KZONT,124.0
2017,PT_BY_2005,KZPAV,172.2
2017,PT_BY_2005,KZSEV,182.4
2017,PT_BY_2005,KZVOS,178.9
2017,PT_BY_2005,KZNS,124.9
2017,PT_BY_2005,KZALA,153.6
2018,PT_BY_2005,,156.6
2018,PT_BY_2005,KZAKM,191.4
2018,PT_BY_2005,KZAKT,142.0
2018,PT_BY_2005,KZALM,156.7
2018,PT_BY_2005,KZATY,195.4
2018,PT_BY_2005,KZZAP,137.2
2018,PT_BY_2005,KZZHA,167.4
2018,PT_BY_2005,KZKAR,153.7
2018,PT_BY_2005,KZKUS,162.6
2018,PT_BY_2005,KZKZY,109.1
2018,PT_BY_2005,KZMAN,82.7
2018,PT_BY_2005,KZPAV,183.2
2018,PT_BY_2005,KZSEV,189.7
2018,PT_BY_2005,KZVOS,188.4
2018,PT_BY_2005,KZNS,118.9
2018,PT_BY_2005,KZALA,153.8
2019,PT_BY_2005,,161.6
2019,PT_BY_2005,KZAKM,199.4
2019,PT_BY_2005,KZAKT,147.5
2019,PT_BY_2005,KZALM,162.5
2019,PT_BY_2005,KZATY,212.6
2019,PT_BY_2005,KZZAP,134.9
2019,PT_BY_2005,KZZHA,174.3
2019,PT_BY_2005,KZKAR,165.5
2019,PT_BY_2005,KZKUS,169.3
2019,PT_BY_2005,KZKZY,108.8
2019,PT_BY_2005,KZMAN,80.3
2019,PT_BY_2005,KZPAV,188.5
2019,PT_BY_2005,KZSEV,200.9
2019,PT_BY_2005,KZVOS,199.3
2019,PT_BY_2005,KZNS,114.7
2019,PT_BY_2005,KZALA,157.8
