Year,UNIT_MEASURE,SERIES,AGE,URBANISATION,SEX,REF_AREA,Value
2015,PT,SN_STA_OVWGTN,,,,KZALM,6.3
2015,PT,SN_STA_OVWGTN,,,,KZATY,14.7
2015,PT,SN_STA_OVWGTN,,,,KZZAP,8.0
2015,PT,SN_STA_OVWGTN,,,,KZZHA,6.1
2015,PT,SN_STA_OVWGTN,,,,KZKAR,6.4
2015,PT,SN_STA_OVWGTN,,,,KZKUS,12.5
2015,PT,SN_STA_OVWGTN,,,,KZKZY,8.6
2015,PT,SN_STA_OVWGTN,,,,KZMAN,4.9
2015,PT,SN_STA_OVWGTN,,,,KZONT,7.6
2015,PT,SN_STA_OVWGTN,,,,KZPAV,9.7
2015,PT,SN_STA_OVWGTN,,,,KZSEV,5.6
2015,PT,SN_STA_OVWGTN,,,,KZVOS,9.2
2015,PT,SN_STA_OVWGTN,,,,KZNS,16.2
2015,PT,SN_STA_OVWGTN,,,,KZALA,21.6
2015,PT,SN_STA_OVWGTN,M0T5,,,,5.8
2015,PT,SN_STA_OVWGTN,M6T11,,,,12.5
2015,PT,SN_STA_OVWGTN,M12T17,,,,15.1
2015,PT,SN_STA_OVWGTN,M18T23,,,,10.1
2015,PT,SN_STA_OVWGTN,M24T35,,,,10.5
2015,PT,SN_STA_OVWGTN,M36T47,,,,8.0
2015,PT,SN_STA_OVWGTN,M48T59,,,,6.5
