Year,REF_AREA,Value
2010,,4.7
2010,KZAKM,2.6
2010,KZAKT,0.2
2010,KZALM,8.5
2010,KZATY,0.1
2010,KZZAP,0.7
2010,KZZHA,15.7
2010,KZKAR,0.4
2010,KZKUS,1.2
2010,KZKZY,15.2
2010,KZMAN,0.7
2010,KZPAV,2.0
2010,KZSEV,5.6
2010,KZYUZ,13.9
2010,KZVOS,6.6
2011,,4.7
2011,KZAKM,2.6
2011,KZAKT,0.2
2011,KZALM,8.8
2011,KZATY,0.1
2011,KZZAP,0.7
2011,KZZHA,15.8
2011,KZKAR,0.4
2011,KZKUS,1.2
2011,KZKZY,15.3
2011,KZMAN,0.7
2011,KZPAV,2.1
2011,KZSEV,5.6
2011,KZYUZ,13.9
2011,KZVOS,6.8
2012,,4.7
2012,KZAKM,2.6
2012,KZAKT,0.2
2012,KZALM,8.8
2012,KZATY,0.1
2012,KZZAP,0.7
2012,KZZHA,15.8
2012,KZKAR,0.4
2012,KZKUS,1.2
2012,KZKZY,15.1
2012,KZMAN,0.7
2012,KZPAV,2.0
2012,KZSEV,5.6
2012,KZYUZ,14.0
2012,KZVOS,7.2
2013,,4.8
2013,KZAKM,2.7
2013,KZAKT,0.2
2013,KZALM,8.8
2013,KZATY,0.1
2013,KZZAP,0.7
2013,KZZHA,15.9
2013,KZKAR,0.4
2013,KZKUS,1.2
2013,KZKZY,15.1
2013,KZMAN,0.7
2013,KZPAV,2.1
2013,KZSEV,5.6
2013,KZYUZ,14.0
2013,KZVOS,7.3
2014,,4.8
2014,KZAKM,2.7
2014,KZAKT,0.2
2014,KZALM,8.8
2014,KZATY,0.1
2014,KZZAP,0.7
2014,KZZHA,15.9
2014,KZKAR,0.4
2014,KZKUS,1.2
2014,KZKZY,15.1
2014,KZMAN,0.7
2014,KZPAV,2.1
2014,KZSEV,5.6
2014,KZYUZ,14.0
2014,KZVOS,7.3
2015,,4.8
2015,KZAKM,2.7
2015,KZAKT,0.2
2015,KZALM,8.9
2015,KZATY,0.1
2015,KZZAP,0.7
2015,KZZHA,15.9
2015,KZKAR,0.4
2015,KZKUS,1.2
2015,KZKZY,15.1
2015,KZMAN,0.7
2015,KZPAV,2.1
2015,KZSEV,5.7
2015,KZYUZ,14.0
2015,KZVOS,7.3
2016,,4.8
2016,KZAKM,2.7
2016,KZAKT,0.2
2016,KZALM,8.9
2016,KZATY,0.1
2016,KZZAP,0.7
2016,KZZHA,15.9
2016,KZKAR,0.4
2016,KZKUS,1.2
2016,KZKZY,15.2
2016,KZMAN,0.7
2016,KZPAV,2.1
2016,KZSEV,5.7
2016,KZYUZ,14.1
2016,KZVOS,7.3
2017,,4.9
2017,KZAKM,2.7
2017,KZAKT,0.2
2017,KZALM,9.2
2017,KZATY,0.1
2017,KZZAP,0.6
2017,KZZHA,16.8
2017,KZKAR,0.4
2017,KZKUS,1.3
2017,KZKZY,15.3
2017,KZMAN,0.8
2017,KZPAV,2.1
2017,KZSEV,5.7
2017,KZYUZ,14.2
2017,KZVOS,7.3
2018,,4.9
2018,KZAKM,2.7
2018,KZAKT,0.2
2018,KZALM,9.3
2018,KZATY,0.2
2018,KZZAP,0.6
2018,KZZHA,16.5
2018,KZKAR,0.4
2018,KZKUS,1.3
2018,KZKZY,15.4
2018,KZMAN,0.8
2018,KZPAV,2.1
2018,KZSEV,5.7
2018,KZYUZ,14.3
2018,KZVOS,7.4
2019,,5.0
2019,KZAKM,2.7
2019,KZAKT,0.2
2019,KZALM,10.0
2019,KZATY,0.1
2019,KZZAP,0.6
2019,KZZHA,16.5
2019,KZKAR,0.4
2019,KZKUS,1.3
2019,KZKZY,15.6
2019,KZMAN,0.8
2019,KZPAV,2.2
2019,KZSEV,5.7
2019,KZYUZ,14.4
2019,KZVOS,7.4
