Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PT,,,,5.7
2010,PT,KZAKM,,,6.2
2010,PT,KZAKT,,,1.4
2010,PT,KZALM,,,6.4
2010,PT,KZATY,,,3.5
2010,PT,KZZAP,,,8.3
2010,PT,KZZHA,,,8.1
2010,PT,KZKAR,,,6.9
2010,PT,KZKUS,,,4.2
2010,PT,KZKZY,,,7.6
2010,PT,KZMAN,,,8.3
2010,PT,KZONT,,,4.1
2010,PT,KZPAV,,,3.3
2010,PT,KZSEV,,,4.6
2010,PT,KZVOS,,,8.9
2010,PT,KZNS,,,7.8
2010,PT,KZALA,,,3.8
2010,PT,,,M,4.4
2010,PT,KZAKM,,M,6.5
2010,PT,KZAKT,,M,1.7
2010,PT,KZALM,,M,4.9
2010,PT,KZATY,,M,2.3
2010,PT,KZZAP,,M,7.9
2010,PT,KZZHA,,M,5.1
2010,PT,KZKAR,,M,3.8
2010,PT,KZKUS,,M,3.8
2010,PT,KZKZY,,M,7.0
2010,PT,KZMAN,,M,6.9
2010,PT,KZONT,,M,1.9
2010,PT,KZPAV,,M,2.7
2010,PT,KZSEV,,M,4.9
2010,PT,KZVOS,,M,8.1
2010,PT,KZNS,,M,3.2
2010,PT,KZALA,,M,3.0
2010,PT,,,F,7.1
2010,PT,KZAKM,,F,6.0
2010,PT,KZAKT,,F,1.1
2010,PT,KZALM,,F,7.8
2010,PT,KZATY,,F,4.8
2010,PT,KZZAP,,F,8.6
2010,PT,KZZHA,,F,11.4
2010,PT,KZKAR,,F,10.1
2010,PT,KZKUS,,F,4.6
2010,PT,KZKZY,,F,8.2
2010,PT,KZMAN,,F,9.7
2010,PT,KZONT,,F,6.3
2010,PT,KZPAV,,F,4.0
2010,PT,KZSEV,,F,4.3
2010,PT,KZVOS,,F,9.7
2010,PT,KZNS,,F,11.9
2010,PT,KZALA,,F,4.5
2010,PT,,U,,5.7
2010,PT,KZAKM,U,,5.6
2010,PT,KZAKT,U,,2.3
2010,PT,KZALM,U,,5.8
2010,PT,KZATY,U,,3.4
2010,PT,KZZAP,U,,10.7
2010,PT,KZZHA,U,,8.2
2010,PT,KZKAR,U,,7.4
2010,PT,KZKUS,U,,3.8
2010,PT,KZKZY,U,,9.1
2010,PT,KZMAN,U,,8.3
2010,PT,KZONT,U,,4.9
2010,PT,KZPAV,U,,4.1
2010,PT,KZSEV,U,,3.7
2010,PT,KZVOS,U,,6.3
2010,PT,KZNS,U,,7.8
2010,PT,KZALA,U,,3.8
2010,PT,,R,,3.0
2010,PT,KZAKM,R,,3.7
2010,PT,KZAKT,R,,0.3
2010,PT,KZALM,R,,3.2
2010,PT,KZATY,R,,1.9
2010,PT,KZZAP,R,,3.7
2010,PT,KZZHA,R,,4.8
2010,PT,KZKAR,R,,2.8
2010,PT,KZKUS,R,,2.6
2010,PT,KZKZY,R,,3.2
2010,PT,KZMAN,R,,3.9
2010,PT,KZONT,R,,1.9
2010,PT,KZPAV,R,,1.1
2010,PT,KZSEV,R,,2.7
2010,PT,KZYUZ,R,,6.8
2011,PT,,,,5.1
2011,PT,KZAKM,,,5.2
2011,PT,KZAKT,,,1.2
2011,PT,KZALM,,,6.0
2011,PT,KZATY,,,2.3
2011,PT,KZZAP,,,5.6
2011,PT,KZZHA,,,7.3
2011,PT,KZKAR,,,6.2
2011,PT,KZKUS,,,4.3
2011,PT,KZKZY,,,6.6
2011,PT,KZMAN,,,7.7
2011,PT,KZONT,,,3.8
2011,PT,KZPAV,,,3.6
2011,PT,KZSEV,,,5.4
2011,PT,KZVOS,,,8.5
2011,PT,KZNS,,,6.6
2011,PT,KZALA,,,2.8
2011,PT,,,M,5.4
2011,PT,KZAKM,,M,4.3
2011,PT,KZAKT,,M,3.5
2011,PT,KZALM,,M,6.5
2011,PT,KZATY,,M,1.9
2011,PT,KZZAP,,M,3.4
2011,PT,KZZHA,,M,6.5
2011,PT,KZKAR,,M,5.6
2011,PT,KZKUS,,M,4.5
2011,PT,KZKZY,,M,9.8
2011,PT,KZMAN,,M,14.1
2011,PT,KZONT,,M,5.5
2011,PT,KZPAV,,M,3.1
2011,PT,KZSEV,,M,4.7
2011,PT,KZVOS,,M,5.6
2011,PT,KZNS,,M,5.2
2011,PT,KZALA,,M,2.9
2011,PT,,,F,9.4
2011,PT,KZAKM,,F,6.1
2011,PT,KZAKT,,F,9.0
2011,PT,KZALM,,F,11.7
2011,PT,KZATY,,F,6.3
2011,PT,KZZAP,,F,4.3
2011,PT,KZZHA,,F,12.7
