Year,UNIT_MEASURE,SERIES,Value
2010,PT,сайгак,4.7
2010,PT,тугайный благородный олень,0.7
2010,PT,кулан,0.9
2010,PT,джейран,-25.1
2010,PT,архар,2.6
2011,PT,сайгак,19.3
2011,PT,тугайный благородный олень,7.1
2011,PT,кулан,16.8
2011,PT,джейран,4.3
2011,PT,архар,2.0
2012,PT,сайгак,34.8
2012,PT,тугайный благородный олень,3.1
2012,PT,кулан,10.3
2012,PT,джейран,2.0
2012,PT,архар,4.7
2013,PT,сайгак,36.0
2013,PT,тугайный благородный олень,3.4
2013,PT,кулан,6.1
2013,PT,джейран,0.8
2013,PT,архар,1.4
2014,PT,сайгак,37.3
2014,PT,тугайный благородный олень,4.5
2014,PT,кулан,5.1
2014,PT,джейран,1.5
2014,PT,архар,6.6
2015,PT,сайгак,15.1
2015,PT,тугайный благородный олень,4.5
2015,PT,кулан,5.1
2015,PT,джейран,1.5
2015,PT,архар,6.6
2016,PT,сайгак,-63.3
2016,PT,тугайный благородный олень,42.3
2016,PT,кулан,5.89
2016,PT,джейран,0.16
2016,PT,архар,1.7
2017,PT,сайгак,40.9
2017,PT,тугайный благородный олень,15.2
2017,PT,кулан,4.6
2017,PT,джейран,3.8
2017,PT,архар,5.1
2018,PT,сайгак,41.0
2018,PT,тугайный благородный олень,3.7
2018,PT,кулан,2.9
2018,PT,джейран,2.3
2018,PT,архар,1.5
2019,PT,сайгак,55.5
2019,PT,тугайный благородный олень,2.5
2019,PT,кулан,2.3
2019,PT,джейран,2.3
2019,PT,архар,5.2
