Year,UNIT_MEASURE,REF_AREA,Value
2015,PT,,30.0
2016,PT,,35.0
2017,PT,,39.9
2018,PT,,54.0
2017,PT,KZAKM,55.0
2018,PT,KZAKM,56.2
2017,PT,KZAKT,53.4
2018,PT,KZAKT,54.8
2017,PT,KZALM,12.8
2018,PT,KZALM,33.6
2017,PT,KZATY,13.5
2018,PT,KZATY,52.7
2017,PT,KZZAP,30.5
2018,PT,KZZAP,72.3
2017,PT,KZZHA,12.9
2018,PT,KZZHA,65.8
2017,PT,KZKAR,50.7
2018,PT,KZKAR,51.1
2017,PT,KZKUS,33.5
2018,PT,KZKUS,52.8
2017,PT,KZKZY,25.0
2018,PT,KZKZY,17.1
2017,PT,KZMAN,30.9
2018,PT,KZMAN,39.9
2017,PT,KZONT,55.2
2018,PT,KZONT,62.5
2017,PT,KZPAV,66.5
2017,PT,KZSEV,23.6
2018,PT,KZSEV,57.4
2018,PT,KZYUZ,79.2
2017,PT,KZVOS,53.2
2018,PT,KZVOS,77.6
2017,PT,KZNS,44.3
2018,PT,KZNS,36.8
2017,PT,KZALA,36.4
2018,PT,KZALA,49.3
2018,PT,KZSHY,46.7
