Year,UNIT_MEASURE,Value
2010,PT,1.1
2011,PT,1.1
2012,PT,1.2
2013,PT,1.5
2014,PT,1.4
2015,PT,1.2
2016,PT,1.2
2017,PT,1.3
2018,PT,1.4
2019,PT,1.4
