Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2016,TH_TNG,_L_KZ_070b01_1A,KZKUS,26585820.0
2017,TH_TNG,_L_KZ_070b01_1A,KZKUS,43954677.0
2018,TH_TNG,_L_KZ_070b01_1A,KZKUS,60336066.0
2010,TH_TNG,_L_KZ_070b01_1A,KZKZY,75611438.0
2011,TH_TNG,_L_KZ_070b01_1A,KZKZY,82569194.0
2012,TH_TNG,_L_KZ_070b01_1A,KZKZY,69467737.0
2013,TH_TNG,_L_KZ_070b01_1A,KZKZY,90719888.0
2014,TH_TNG,_L_KZ_070b01_1A,KZKZY,75732198.0
2015,TH_TNG,_L_KZ_070b01_1A,KZKZY,54808099.0
2016,TH_TNG,_L_KZ_070b01_1A,KZKZY,67675868.0
2017,TH_TNG,_L_KZ_070b01_1A,KZKZY,51305208.0
2018,TH_TNG,_L_KZ_070b01_1A,KZKZY,61633742.0
2010,TH_TNG,_L_KZ_070b01_1A,KZMAN,48847386.0
2011,TH_TNG,_L_KZ_070b01_1A,KZMAN,51987752.0
2012,TH_TNG,_L_KZ_070b01_1A,KZMAN,40640607.0
2013,TH_TNG,_L_KZ_070b01_1A,KZMAN,38402558.0
2014,TH_TNG,_L_KZ_070b01_1A,KZMAN,55844915.0
2015,TH_TNG,_L_KZ_070b01_1A,KZMAN,41359678.0
2016,TH_TNG,_L_KZ_070b01_1A,KZMAN,54275915.0
2017,TH_TNG,_L_KZ_070b01_1A,KZMAN,41437482.0
2018,TH_TNG,_L_KZ_070b01_1A,KZMAN,42134139.0
2010,TH_TNG,_L_KZ_070b01_1A,KZONT,92816216.0
2011,TH_TNG,_L_KZ_070b01_1A,KZONT,109495938.0
2012,TH_TNG,_L_KZ_070b01_1A,KZONT,148881823.0
2013,TH_TNG,_L_KZ_070b01_1A,KZONT,134510633.0
2014,TH_TNG,_L_KZ_070b01_1A,KZONT,162519894.0
2015,TH_TNG,_L_KZ_070b01_1A,KZONT,129976342.0
2016,TH_TNG,_L_KZ_070b01_1A,KZONT,159055103.0
2017,TH_TNG,_L_KZ_070b01_1A,KZONT,157618965.0
2010,TH_TNG,_L_KZ_070b01_1A,KZPAV,25621279.0
2011,TH_TNG,_L_KZ_070b01_1A,KZPAV,22731933.0
2012,TH_TNG,_L_KZ_070b01_1A,KZPAV,30319036.0
2013,TH_TNG,_L_KZ_070b01_1A,KZPAV,27121531.0
2014,TH_TNG,_L_KZ_070b01_1A,KZPAV,32302416.0
2015,TH_TNG,_L_KZ_070b01_1A,KZPAV,24815611.0
2016,TH_TNG,_L_KZ_070b01_1A,KZPAV,21074158.0
2017,TH_TNG,_L_KZ_070b01_1A,KZPAV,51585022.0
2018,TH_TNG,_L_KZ_070b01_1A,KZPAV,74806910.0
2010,TH_TNG,_L_KZ_070b01_1A,KZSEV,17462545.0
2011,TH_TNG,_L_KZ_070b01_1A,KZSEV,18788111.0
2012,TH_TNG,_L_KZ_070b01_1A,KZSEV,28019290.0
2013,TH_TNG,_L_KZ_070b01_1A,KZSEV,22593248.0
2014,TH_TNG,_L_KZ_070b01_1A,KZSEV,20881816.0
2015,TH_TNG,_L_KZ_070b01_1A,KZSEV,27155173.0
2016,TH_TNG,_L_KZ_070b01_1A,KZSEV,27478383.0
2017,TH_TNG,_L_KZ_070b01_1A,KZSEV,34299716.0
2018,TH_TNG,_L_KZ_070b01_1A,KZSEV,47506208.0
2018,TH_TNG,_L_KZ_070b01_1A,KZYUZ,104060972.0
2010,TH_TNG,_L_KZ_070b01_1A,KZVOS,40946358.0
2011,TH_TNG,_L_KZ_070b01_1A,KZVOS,69019293.0
2012,TH_TNG,_L_KZ_070b01_1A,KZVOS,76237365.0
2013,TH_TNG,_L_KZ_070b01_1A,KZVOS,65491567.0
2014,TH_TNG,_L_KZ_070b01_1A,KZVOS,53073232.0
2015,TH_TNG,_L_KZ_070b01_1A,KZVOS,41241417.0
2016,TH_TNG,_L_KZ_070b01_1A,KZVOS,52059145.0
2017,TH_TNG,_L_KZ_070b01_1A,KZVOS,88904888.0
2018,TH_TNG,_L_KZ_070b01_1A,KZVOS,93736234.0
2010,TH_TNG,_L_KZ_070b01_1A,KZNS,205944085.0
2011,TH_TNG,_L_KZ_070b01_1A,KZNS,192182529.0
2012,TH_TNG,_L_KZ_070b01_1A,KZNS,193395093.0
2013,TH_TNG,_L_KZ_070b01_1A,KZNS,212481905.0
2014,TH_TNG,_L_KZ_070b01_1A,KZNS,236923971.0
