Year,UNIT_MEASURE,REF_AREA,Value
2010,TH_HA,,5640.9
2010,TH_HA,KZAKM,86.6
2010,TH_HA,KZALM,1701.6
2010,TH_HA,KZZHA,182.6
2010,TH_HA,KZKAR,175.7
2010,TH_HA,KZPAV,68.5
2010,TH_HA,KZSEV,11.1
2010,TH_HA,KZYUZ,379.6
2010,TH_HA,KZVOS,3035.2
2011,TH_HA,,5646.8
2011,TH_HA,KZAKM,86.6
2011,TH_HA,KZALM,1707.4
2011,TH_HA,KZZHA,182.6
2011,TH_HA,KZKAR,175.7
2011,TH_HA,KZPAV,68.5
2011,TH_HA,KZSEV,11.1
2011,TH_HA,KZYUZ,379.6
2011,TH_HA,KZVOS,3034.9
2012,TH_HA,,5663.6
2012,TH_HA,KZAKM,74.5
2012,TH_HA,KZALM,1707.5
2012,TH_HA,KZZHA,182.6
2012,TH_HA,KZKAR,153.8
2012,TH_HA,KZPAV,68.5
2012,TH_HA,KZSEV,11.1
2012,TH_HA,KZYUZ,431.8
2012,TH_HA,KZVOS,3033.7
2013,TH_HA,,5669.2
2013,TH_HA,KZAKM,74.5
2013,TH_HA,KZALM,1707.5
2013,TH_HA,KZZHA,182.6
2013,TH_HA,KZKAR,153.8
2013,TH_HA,KZPAV,68.5
2013,TH_HA,KZSEV,11.1
2013,TH_HA,KZYUZ,431.8
2013,TH_HA,KZVOS,3039.4
2014,TH_HA,,5674.5
2014,TH_HA,KZAKM,74.5
2014,TH_HA,KZALM,1706.5
2014,TH_HA,KZZHA,182.6
2014,TH_HA,KZKAR,153.8
2014,TH_HA,KZPAV,68.5
2014,TH_HA,KZSEV,11.1
2014,TH_HA,KZYUZ,431.8
2014,TH_HA,KZVOS,3045.6
2015,TH_HA,,5675.0
2015,TH_HA,KZAKM,74.5
2015,TH_HA,KZALM,1707.1
2015,TH_HA,KZZHA,182.6
2015,TH_HA,KZKAR,153.8
2015,TH_HA,KZPAV,68.5
2015,TH_HA,KZSEV,11.1
2015,TH_HA,KZYUZ,431.8
2015,TH_HA,KZVOS,3045.6
2016,TH_HA,,5675.2
2016,TH_HA,KZAKM,74.5
2016,TH_HA,KZALM,1707.3
2016,TH_HA,KZZHA,182.6
2016,TH_HA,KZKAR,153.8
2016,TH_HA,KZPAV,68.5
2016,TH_HA,KZSEV,11.1
2016,TH_HA,KZYUZ,431.8
2016,TH_HA,KZVOS,3045.6
2017,TH_HA,,5699.2
2017,TH_HA,KZAKM,99.8
2017,TH_HA,KZALM,1707.3
2017,TH_HA,KZZHA,215.8
2017,TH_HA,KZKAR,179.2
2017,TH_HA,KZPAV,68.5
2017,TH_HA,KZSEV,11.1
2017,TH_HA,KZYUZ,431.8
2017,TH_HA,KZVOS,2985.8
2018,TH_HA,,5841.6
2018,TH_HA,KZAKM,99.8
2018,TH_HA,KZALM,1706.1
2018,TH_HA,KZZHA,215.8
2018,TH_HA,KZKAR,179.2
2018,TH_HA,KZPAV,68.5
2018,TH_HA,KZSEV,11.1
2018,TH_HA,KZYUZ,431.8
2018,TH_HA,KZVOS,3129.3
2019,TH_HA,,5999.6
2019,TH_HA,KZAKM,99.8
2019,TH_HA,KZALM,1705.9
2019,TH_HA,KZZHA,324.9
2019,TH_HA,KZKAR,179.2
2019,TH_HA,KZPAV,68.5
2019,TH_HA,KZSEV,11.1
2019,TH_HA,KZYUZ,431.8
2019,TH_HA,KZVOS,3178.4
