Year,UNIT_MEASURE,Value
2010,PT,17.4
2011,PT,18.1
2012,PT,17.5
2013,PT,18.5
2014,PT,17.8
2015,PT,19.3
2016,PT,19.1
2017,PT,17.1
2018,PT,22.4
2019,PT,23.2
