Year,UNIT_MEASURE,SERIES,Value
2012,PT,_L_KZ_090c01_1A,42.1
2013,PT,_L_KZ_090c01_1A,85.9
2014,PT,_L_KZ_090c01_1A,91.6
2014,PT,_L_KZ_090c01_1B,85.0
2015,PT,_L_KZ_090c01_1A,96.6
2015,PT,_L_KZ_090c01_1B,72.7
2016,PT,_L_KZ_090c01_1A,96.1
2016,PT,_L_KZ_090c01_1B,86.8
2017,PT,_L_KZ_090c01_1A,96.6
2017,PT,_L_KZ_090c01_1B,87.5
2018,PT,_L_KZ_090c01_1A,96.6
2018,PT,_L_KZ_090c01_1B,87.9
2019,PT,_L_KZ_090c01_1A,98.0
2019,PT,_L_KZ_090c01_1B,88.8
