Year,Value,UNIT_MEASURE
2012,17.0,пайыз
2013,18.0,пайыз
2014,23.0,пайыз
2015,23.12,пайыз
2016,26.8,пайыз
2017,30.86,пайыз
2018,32.2,пайыз
2019,34.0,пайыз
