Year,Value,SERIES,UNIT_MEASURE
2010,10.9,дамушы елдер,пайыз
2010,9.2,аз дамыған елдер,пайыз
2011,11.1,дамушы елдер,пайыз
2011,9.2,аз дамыған елдер,пайыз
2012,11.3,дамушы елдер,пайыз
2012,9.4,аз дамыған елдер,пайыз
2013,10.2,дамушы елдер,пайыз
2013,8.4,аз дамыған елдер,пайыз
2014,8.7,дамушы елдер,пайыз
2014,7.3,аз дамыған елдер,пайыз
2015,8.7,дамушы елдер,пайыз
2015,7.2,аз дамыған елдер,пайыз
2016,8.4,дамушы елдер,пайыз
2016,6.9,аз дамыған елдер,пайыз
2017,6.7,дамушы елдер,пайыз
2017,5.4,аз дамыған елдер,пайыз
2018,53.0,дамушы елдер,пайыз
2018,39.0,аз дамыған елдер,пайыз
2019,64.0,дамушы елдер,пайыз
2019,40.0,аз дамыған елдер,пайыз
