Year,Value,SERIES,UNIT_MEASURE
2010,148.0,VC_DSR_IJILN,адам
2010,0.906,VC_DSR_DAFF,адам
2010,54.0,VC_DSR_MORT,адам
2010,0.33,VC_DSR_MTMP,адам
2011,12.0,VC_DSR_IJILN,адам
2011,0.07,VC_DSR_DAFF,адам
2011,5.0,VC_DSR_MORT,адам
2011,0.03,VC_DSR_MTMP,адам
2012,20.0,VC_DSR_IJILN,адам
2012,0.119,VC_DSR_DAFF,адам
2012,15.0,VC_DSR_MORT,адам
2012,0.089,VC_DSR_MTMP,адам
2013,12.0,VC_DSR_IJILN,адам
2013,0.07,VC_DSR_DAFF,адам
2013,3.0,VC_DSR_MORT,адам
2013,0.0176,VC_DSR_MTMP,адам
2014,19.0,VC_DSR_IJILN,адам
2014,0.109,VC_DSR_DAFF,адам
2014,9.0,VC_DSR_MORT,адам
2014,0.52,VC_DSR_MTMP,адам
2015,8.0,VC_DSR_IJILN,адам
2015,0.045,VC_DSR_DAFF,адам
2015,0.0,VC_DSR_MORT,адам
2015,0.0,VC_DSR_MTMP,адам
2016,8.0,VC_DSR_IJILN,адам
2016,0.045,VC_DSR_DAFF,адам
2016,1.0,VC_DSR_MORT,адам
2016,0.005,VC_DSR_MTMP,адам
2017,35.0,VC_DSR_IJILN,адам
2017,0.194,VC_DSR_DAFF,адам
2017,11.0,VC_DSR_MORT,адам
2017,0.061,VC_DSR_MTMP,адам
2018,8.0,VC_DSR_IJILN,адам
2018,0.044,VC_DSR_DAFF,адам
2018,1.0,VC_DSR_MORT,адам
2018,0.005,VC_DSR_MTMP,адам
2019,9.0,VC_DSR_IJILN,адам
2019,0.048,VC_DSR_DAFF,адам
2019,2.0,VC_DSR_MORT,адам
2019,0.011,VC_DSR_MTMP,адам
