Year,Value,UNIT_MEASURE
2010,109.1,өткен жылға пайызбен
2011,112.1,өткен жылға пайызбен
2012,102.8,өткен жылға пайызбен
2013,102.1,өткен жылға пайызбен
2014,103.8,өткен жылға пайызбен
2015,97.3,өткен жылға пайызбен
2016,99.0,өткен жылға пайызбен
2017,103.6,өткен жылға пайызбен
2018,104.7,өткен жылға пайызбен
2019,105.3,өткен жылға пайызбен
