Year,Value,UNIT_MEASURE
2010,3715.6,млн.теңге
2011,4493.3,млн.теңге
2012,6146.6,млн.теңге
2013,7347.6,млн.теңге
2014,7362.5,млн.теңге
2015,6842.6,млн.теңге
2016,8149.6,млн.теңге
2017,8045.2,млн.теңге
2018,8566.2,млн.теңге
