Year,Value,SERIES,UNIT_MEASURE
2010,1249382.0,природного характера,мың теңге
2010,8334944.729999999,техногенного характера,мың теңге
2011,325575.2,природного характера,мың теңге
2011,949121.35,техногенного характера,мың теңге
2012,1238491.2,природного характера,мың теңге
2012,1484323.57,техногенного характера,мың теңге
2013,385119.9,природного характера,мың теңге
2013,1238029.8,техногенного характера,мың теңге
2014,759078.1,природного характера,мың теңге
2014,927084.0,техногенного характера,мың теңге
2015,4330016.016000001,природного характера,мың теңге
2015,766681.0,техногенного характера,мың теңге
2016,386263.0,природного характера,мың теңге
2016,977323.8,техногенного характера,мың теңге
2017,1409460.9,природного характера,мың теңге
2017,8718557.0,техногенного характера,мың теңге
2018,559557.0,природного характера,мың теңге
2018,1628373.1,техногенного характера,мың теңге
2019,498089.2,природного характера,мың теңге
2019,37936373.5,техногенного характера,мың теңге
